Artikel	Nomen	Plural	Bedeutung_KO	Bedeutung_EN	Beispiel	Beispiel_Bedeutung
das	Tier	Tiere	동물, 짐승	animal	Mein kleiner Bruder will in den Zoo gehen, um sich Tiere anzuschauen.	내 동생은 동물을 구경하기 위해 동물원에 가고 싶어 한다.
die	Pfeife	Pfeifen	휘슬, 피리, 휘파람	pipe, whistle	Unser Trainer trägt eine Pfeife um seinen Hals.	우리의 코치는 목에 호루라기를 착용한다.
die	Regel	Regeln	상례, 규칙, 규율	rule	Jedes Spiel hat seine eigenen Regeln.	모든 게임에는 규칙이 있습니다.
die	Rose	Rosen	장미, 장미 무늬	rose	Die Rose ist die Königin der Blumen.	장미는 꽃의 여왕이다.
die	Zeit	Zeiten	시간, 기간	time, period, era	Ich verbringe viel Zeit draußen.	나는 밖에서 많은 시간을 보낸다.
die	Technik	Techniken	공학, 기술, 설비	technology, technique	Das neueste Modell kombiniert innovative Technik und Retrodesign.	혁신적인 기술과 복고풍 디자인을 결합한 최신 모델입니다.
die	Tabelle	Tabellen	표, 리스트	table, chart	In der Tabelle sind alle Produkte und deren Preise aufgelistet.	이 표에는 모든 제품과 가격이 나와 있습니다.
die	Welt	Welten	세상, 세상 사람들	world	Idealisten wollen die Welt verändern.	이상 주의자들은 세상을 바꾸고 싶어합니다.
die	Angst	Ängste	공포, 불안, 무서움	fear, anxiety	Seine Angst vor Arbeitslosigkeit ist völlig unbegründet.	실업에 대한 그의 두려움은 완전히 근거가 없다.
die	Erkältung	Erkältungen	감기	cold, chill	Ich habe mir in der Schule eine Erkältung eingefangen.	나는 학교에서 감기에 걸렸다.
die	Kopie	Kopien	사본, 복사, 복사판	copy, replica, duplicate	Sie hat eine Kopie eines berühmten Gemäldes in ihrem Wohnzimmer.	그녀는 거실에 유명한 그림의 사본을 가지고 있습니다.
die	Hausarbeit	Hausarbeiten	가사일, 숙제	housework, homework	Ich erledige den Hauptanteil der Hausarbeit.	나는 대부분의 집안일을 한다.
die	Geburt	Geburten	분만, 출산, 탄생	birth	Er ist von Geburt ein Engländer	그는 영국 태생이다.
die	Idee	Ideen	이념, 아이디어, 생각	idea, concept	Es war eine tolle Idee, zu der Party zu gehen.	파티에가는 것은 좋은 생각이었다.
die	Handtasche	Handtaschen	(여성용)손가방, 핸드백	handbag	Meine Schwester hat eine gefälschte Handtasche gekauft.	내 동생이 짝퉁 핸드백을 사왔다.
die	Hausangestellte	Hausangestellten	가정부, 하녀	domestic	In Königshäusern ist es üblich, Hausangestellte zu beschäftigen.	왕실에서는 하녀를 고용하는 것이 일반적입니다.
die	Geldbörse	Geldbörsen	지갑, 돈주머니	purse, wallet	Ich legte meine Geldbörse auf den Tisch.	나는 지갑을 테이블 위에 뒀다.
die	Halskette	Halsketten	목걸이, 목줄	necklace	Sie trug eine goldene Halskette.	그녀는 금 목걸이를 착용했다.
die	Kosmetik	Kosmetika	미용, 화장	cosmetic	Sie zwackte vom Haushaltsgeld zehn Mark für Kosmetik ab.	그녀는 가계비에서 미용을 위해 10마르크를 덜어냈다
der	Gutschein	Gutscheine	쿠폰, 교환권	voucher, coupon	Der Gutschein verfällt nächsten Montag.	쿠포은 다음주 월요일에 만료됩니다.
der	Moment	Momente	순간, 찰나, 시점	moment, point	Einen Moment.	잠시만요.
der	Ort	Orte	장소, 지역, 지점	place, location, spot	Wir haben einige sehr schöne Orte besucht.	우리는 매우 멋진 장소를 방문했습니다.
der	Regenschirm	Regenschirme	우산	umbrella	Ich nehme einen Regenschirm mit, falls es regnet.	비가 올 경우 나는 우산을 가져갈 것이다.
der	Schmuck	Schmucke	장신구, 장식품, 보석류	jewelry	Das Geschäft verkauft Uhren und Schmuck.	이 가게는 장신구와 시계를 판매한다.
der	Maler	Maler	화가	painter, artist	Der Maler bat mich, für ein Bild Modell zu stehen.	화가는 나에게 그림의 모델이 되어달라고 부탁했다.
der	Ring	Ringe	반지, 고리, 원	ring	Der Ring ist aus echtem Gold.	이 반지는 순금으로 만들어졌다.
der	Ohrring	Ohrringe	귀고리	earring	Sabine trägt zwei Ohrringe im linken Ohrläppchen.	Sabine는 왼쪽 귓볼에 두 개의 귀걸이를 착용한다.
der	Terminkalender	Terminkalender	일정 수첩	diary, appointment calendar	Ich muss den Termin in meinen Terminkalender eintragen.	내 수첩에 일정을 적어야한다.
der	Experte	Experten	전문가	expert	Experten bewerteten die Qualität der Produkte.	전문가가 제품의 품질을 평가했다.
der	Ehering	Eheringe	결혼반지	wedding ring	Meine Großmutter trägt ihren Ehering an einer goldenen Kette.	할머니는 그녀의 결혼 반지를 금목걸이에 착용합니다.
der	Applaus	Applause	박수 갈채	applause	Die Zuschauer knauserten nicht mit Applaus nach der Show.	관객들은 쇼가 끝난 후 박수를 아끼지 않았다.
der	Gang	Gänge	보행, 걸음걸이	course, speed	Das hat seinen guten Gang.	그것은 순조롭게 진행되고 있다.
der	Hut	Hüte	(테가 있는) 모자	hat, cap	Er trägt einen Hut auf seinem Kopf.	그는 모자를 쓰고있다.
der	Fotoapparat	Fotoapparate	사진기	camera	Dieser Fotoapparat macht großartige Bilder.	이 카메라는 훌륭한 사진을 찍습니다.
der	Handschuh	Handschuhe	장갑	glove	Ich trage im Winter immer eine Mütze und Handschuhe.	나는 항상 겨울에 모자와 장갑을 착용한다.
der	Fotograf	Fotografen	사진사	photographer	Der Fotograf war in ein neues Studio umgezogen.	사진작가는 새로운 스튜디오로 옮겼습니다.
das	Paket	Pakete	꾸러미, 소포, 상자	package, packet	Er holte sein Paket beim Postamt ab.	그는 우체국에서 소포를 가져왔다.
das	Mädchen	Mädchen	소녀, 여자아이	girl	Meine Tochter versprach, ein braves Mädchen zu sein.	내 딸은 착한 소녀가 되겠다고 약속했다.
das	Volk	Völker	민족, 국민, 떼	people, nation	Nein danke, mit so einem Volk will ich nichts zu tun haben.	괜찮습니다. 저는 그런 사람들과 아무 관계가 없기를 바랍니다.
das	Ding	Dinge	물건, 사물, 사건. 일	thing, item	Die wertvollsten Dinge, die ich besitze, sind in meinem Safe.	내가 가진 것중 제일 소중한 물건들은 내 금고에 있다.
das	Angebot	Angebote	제시, 제안, 공급	offer, supply	Ich habe das gute Angebot schnell angenommen.	나는 좋은 제안을 빨리 받아 들였다.
das	Datum	Daten	날짜, 데이터	date	Der Lehrer hat das Datum für die Prüfung festgelegt.	선생님은 시험 날짜를 정했습니다.
das	Essen	Essen	식사, 음식, 요리	food, meal	Das Essen im Hotel ist sehr gut.	이 호텔의 음식은 매우 맛있다.
das	Feuerzeug	Feuerzeuge	라이터	lighter	Ich habe Kerzen gekauft, aber das Feuerzeug vergessen.	나는 양초를 샀지만, 라이터를 잊어버렸다.
das	Handy	Handys	휴대폰	mobile phone	Ich nahm mein Handy heraus und rief meine Mutter an.	나는 휴대폰을 꺼내 엄마에게 전화를 했다.
das	Glück	-	행운, 운수, 행복	happiness, luck, fortune	Er wünschte ihr viel Glück.	그는 그녀의 행운을 빌었다.
das	Foto	Fotos	사진	photo, picture	Ich lächelte auf dem Foto.	나는 사진속에서 웃고 있었다.
die	Trauung	Trauungen	결혼, 혼례	wedding, marriage	Unsere kirchliche Trauung findet am kommenden Samstag statt.	우리의 교회 결혼식은 다음 주 토요일에 열릴 것입니다.
die	Einladung	Einladungen	초대, 적재	invitation	Wir verschickten die Einladungen vier Monate vor der Hochzeit.	결혼식 4개월 전에 초대장을 보냈습니다.
die	Braut	Bräute	약혼녀, 아가씨	bride	Die Braut trug ein wunderschönes Hochzeitskleid.	신부는 아름다운 웨딩 드레스를 입고있었습니다.
die	Hochzeit	Hochzeiten	결혼식, 혼례	wedding, marriage	Der Bräutigam ist vor der Hochzeit verschwunden.	신랑은 결혼식 전에 사라졌다.
die	Feier	Feiern	휴업, 축제	celebration, party	Alles ist fertig für die große Feier.	큰 축제를 위한 준비가 모두 끝났다.
der	Bräutigam	Bräutigame	신랑	groom	Der Bräutigam heiratet die Braut.	신랑은 신부와 결혼한다.
der	Gast	Gäste	손님, 고객	guest, customer, visitor	Ich lud viele Gäste zu meiner Geburtstagsfeier ein.	나는 많은 손님들을 내 생일 파티에 초대했다.
die	Mannschaft	Mannschaften	팀, 선수단, 직원	team, crew	Ich wette, dass meine Mannschaft das Spiel gewinnt.	우리 팀이 게임에서 이길거야.
die	Verlängerung	Verlängerungen	연장, 연장전	extension, renewal	Mein Manager wird eine Verlängerung meines Vertrags gewähren.	관리자가 나의 계약을 연장해줬다.
der	Schiedsrichter	Schiedsrichter	심판, 중재자	referee, arbitrator	Ein Schiedsrichter darf nie einer Mannschaft gegenüber parteiisch sein.	심판은 절대로 한팀에 편향되어선 안된다.
der	Pokal	Pokale	트로피	cup, trophy	Der Sieger hob den Pokal hoch in die Luft.	우승자는 높이 우승컵을 들어 올렸다.
der	Zuschauer	Zuschauer	구경꾼, 관객, 시청자	spectator, viewer	Sehr viele Zuschauer kamen, um sich die Vorführung anzusehen.	많은 관중들이 쇼를 보러 왔습니다.
der	Sprung	Sprünge	뜀, 도약, 점프, 균열	leap, jump, plunge, crack	Die Katze machte einen Sprung über den Zaun.	고양이가 울타리 위로 뛰어 올랐다.
der	Torwart	Torwarte	골키퍼	goalkeeper	Der Torwart konnte den Ball nicht festhalten.	골키퍼가 공을 막을 수 없었다.
der	Ball	Bälle	공, 공모양의 것	ball	Mein Hund spielt gern mit dem gelben Ball.	우리 강아지는 노란 공을 가지고 노는 걸 좋아한다.
das	Publikum	Publika	관객, 청중, 독자	public, audience, crowd	Ich habe noch nie vor einem Publikum gesungen.	나는 관객 앞에서 결코 노래하지 않는다.
das	Tor	Tore	문, 출입구, 골	door, gate	Der neue Spieler erzielte zwei Tore.	새로운 선수는 2골을 넣었다.
die	Statistik	Statistiken	통계학, 통계	statistic	Diese Statistik wird wöchentlich aktualisiert.	이 통계는 매주 업데이트됩니다.
die	Apotheke	Apotheken	약국	pharmacy	Ich holte mein Medikament von der Apotheke ab.	나는 약국에서 약을 가져갔습니다.
die	Größe	Größen	크기, 거대	size, height	Die Schuhe sind nach Größe geordnet.	신발들은 사이즈에 맞춰 진열됩니다.
die	Gymnastik	-	체육, 체조	gymnastics	Ich bin zu ungeschickt für Gymnastik.	나는 체육이랑 안맞아.
der	Parkplatz	Parkplätze	주차장	parking lot	Ich fuhr weiter, bis ich einen passenden Parkplatz fand.	나는 적당한 주차공간을 찾을 때까지 운전을 계속했다.
der	Mitschüler	Mitschüler	동급생	classmate	Meine neuen Mitschüler wirken sehr freundlich.	새로운 동급생들은 매우 친절하다.
der	Witz	Witze	기지, 장난, 지혜	wit, joke	Er ist so eine lustige Person, er erzählt immer Witze.	그는 재밌는 사람이고 항상 농담을 한다.
der	Abflug	Abflüge	이륙, 떠나감	departure	Der Abflug des Flugzeugs wurde durch ein technisches Problem verzögert.	항공기의 이륙은 기술적 문제때문에 지연되었습니다.
der	Besuch	Besuche	방문	visit	Meine Freundin hat mir gesagt, dass sie heute Nachmittag auf einen Besuch vorbeikommen würde.	내 여자 친구는 오늘 오후에 그녀가 방문 할 것이라고 말했다.
der	Flügel	Flügel	날개	wing, blade	Flügel sind Bauteile eines Flugzeugs.	날개는 비행기의 구성 요소입니다.
das	Problem	Probleme	문제, 과제	problem, trouble	Ich habe eine Lösung für unser Problem.	나는 우리의 문제에 대한 해결책을 가지고 있다.
das	Gewicht	Gewichte	무게, 체중	weight	Ich stellte meinen Koffer auf die Waage, um sein Gewicht zu prüfen.	나는 무게를 확인하기 위해 저울에 가방을 올렸다.
die	Praxis	Praxen	실행, 실습, 경험	practice	Das ist zwar eine gute Idee, aber in der Praxis ist es nicht machbar.	좋은 생각이지만, 실전에서는 실현 가능하지 않습니다.
die	Salbe	Salben	연고, 고약	ointment	Der Arzt verschrieb eine antibiotische Salbe für meine Wunde.	의사는 내 상처에 대해 항생제 연고를 처방했다.
die	Tablette	Tabletten	알약	tablet, pill	Ich muss zwei Tabletten pro Tag nehmen, bis es mir besser geht.	나는 상태가 좋아질때까지 하루에 두 알의 알약을 복용해야 한다.
der	Patient	Patienten	병자, 환자	patient	Der Patient, der wieder gesund ist, darf heute nach Hause gehen.	다시 건강이 좋아진 환자는 오늘 퇴원이 가능합니다.
der	Termin	Termine	기한, 예정일, 약속	date, appointment	Der Arzt gab mir einen Termin für Donnerstag.	의사는 목요일에 약속을 잡아주었다.
der	Doktor	Doktoren	의사	doctor	Der Doktor hat gesagt, dass ich zuhause bleiben und mich ausruhen soll.	의사는 내가 집에서 휴식을 취해야 한다고 말했다.
das	Rezept	Rezepte	요리법, 처방	recipe, prescription	Der Arzt gab mir ein Rezept für die Medikamente.	의사가 약을 처방해주었다.
das	Medikament	Medikamente	약, 약품	drug, medicine, medication	Das Medikament wird als Injektion verabreicht.	처방은 주사로 놓아줍니다.
die	Schulter	Schultern	어깨	shoulder	Ein Papagei saß auf seiner Schulter.	앵무새가 그의 어깨에 앉았다.
die	Brust	Brüste	가슴, 유방	chest, bust	Er hat ständig Schmerzen in der Brust.	그는 항상 가슴에 통증이 있습니다.
die	Hüfte	Hüften	허리, 엉덩이	hip	Das Model legt die Hände auf die Hüften und posiert.	모델은 엉덩이쪽에 손을 올리고 포즈를 취한다.
der	Po	Pos	엉덩이, 둔부	buttocks, butt	Ich trainiere, damit mein Po kleiner wird.	나는 내 엉덩이가 작아지도록 운동했다.
der	Rücken	Rücken	등	back	Ich liege auf dem Rücken und schaue den Wolken zu.	나는 등을 대고 누워서 구름을 보았다.
der	Zeh	Zehen	발가락	toe	Ich habe eine kleine Blase an meinem Zeh.	나는 발끝에 약간의 거품이있다.
der	Busen	Busen	요부, 가슴	bosom, bust	Das Kleid betonte den Busen der Dame.	그 의상은 여자의 가슴을 강조했다.
der	Daumen	Daumen	엄지손가락	thumb	Das Baby saugte an seinem Daumen.	아기는 그의 엄지손가락을 빨았다.
der	Bauch	Bäuche	배, 위	stomach	Du hast dir einen Bauch angefressen.	너는 너무 많이 먹어 배가 나왔다.
der	Finger	Finger	손가락	finger, digit	Die Frau trug Ringe an allen ihren Fingern.	여자는 모든 손가락에 반지를 끼웠다.
der	Hals	Hälse	목	neck, throat	Die Frau trug einen roten Schal aus Seide um ihren Hals.	여자는 목에 빨간 실크 스카프를 둘렀다.
der	Körper	Körper	몸, 신체	body	Das Herz pumpt Blut durch den Körper.	심장은 몸을 통해 혈액을 공급한다.
der	Kopf	Köpfe	머리	head, mind	Der Hut ist zu groß für meinen Kopf.	이 모자는 나한테는 크다.
das	Gesicht	Gesichter	얼굴, 인상, 용모	face	So viele neue Gesichter!	새로운 얼굴들이 많네!
das	Knie	Knie	무릎	knee	Er hat sich das Knie verschrammt.	그는 무릎에 생채기를 냈다.
die	Allergie	Allergien	알레르기	allergy	Manche Allergien können einen Hautausschlag auslösen.	일부 알레르기는 발진을 유발할 수 있습니다.
die	Grippe	Grippen	독감, 유행성 감기	flu, influenza	Ich bekam die Grippe und musste eine Woche im Bett bleiben.	나는 독감에 걸려서 일주일 동안 집에 있어야했다.
die	Krankheit	Krankheiten	병, 질병	illness, disease	Meine Krankheit ist nicht ansteckend.	내 병은 전염성이 없습니다.
der	Schnupfen	Schnupfen	코감기	cold	Ich werde den Schnupfen nicht los.	나는 감기가 낫질 않고 있다.
der	Schmerz	Schmerzen	아픔, 고통	pain, ache	Ich habe diesen Schmerz in meiner Schulter seit drei Tagen.	나는 3일동안 어깨 통증이 있다.
der	Durchfall	Durchfälle	설사, 추락	diarrhoea	Ich vermeide bestimmte Lebensmittel, weil sie bei mir Durchfall verursachen.	나는 설사를 일으킬 수도 있기 때문에 특정 음식은 피한다.
der	Krebs	Krebse	갑각류, 게, 암	cancer, crab	Krebs ist eine schreckliche Krankheit.	암은 지독한 질병이다.
der	Husten	Husten	기침	cough	Der Kind hustete schwach die ganze Nacht.	아이는 밤새 잔기침을 했다.
das	Krankenhaus	Krankenhäuser	병원	hospital	Muß ich im Krankenhaus bleiben?	입원해야 하나요?
das	Fieber	Fieber	흥분, 열	fever	Ich ging zum Arzt, weil ich Fieber hatte.	나는 열이 있어서 병원에 갔다.
die	Party	Partys	파티	party	Er wollte mich zur Party mitschleifen.	그는 나를 파티에 데려가려고 했다.
die	Quelle	Quellen	우물, 기원, 출처	source, spring	Wir haben das an der Quelle gekauft.	우리는 그것을 본고장에서 샀다
die	Politik	Politiken	정치, 정치학	politics, policy	Sie hatten eine lebhafte Diskussion über Politik.	그들은 정치에 관해 활발한 토론을 가졌습니다.
die	Situation	Situationen	상황, 입장	situation	Wir müssen jetzt handeln, die Situation ist ernst.	우리는 지금 행동해야 하며 상황은 심각합니다.
die	Stiftung	Stiftungen	재단, 기부	foundation, endowment	Er hat eine Stiftung für benachteiligte Kinder gegründet.	그는 불우한 아이들을위한 재단을 마련했습니다.
die	Baustelle	Baustellen	공사장	site, construction site	Die Architektin besuchte die Baustelle und sprach mit den Bauarbeitern.	건축가는 건설 현장을 방문하여 건설 노동자들과 이야기했습니다.
die	Erde	Erden	지구, 대지	earth, soil	Das Saatgut sollte gleichmäßig mit Erde bedeckt sein.	씨앗은 흙으로 고르게 덮여있어야 한다.
die	Existenz	Existenzen	존재, 생활	existence	Ich wusste bis jetzt nichts von der Existenz dieser Dateien.	지금까지 이 파일들의 존재에 대해 아무것도 몰랐습니다.
die	Ausbildung	Ausbildungen	교육, 양성, 수련	training	Er hat eine gute musikalische Ausbildung erhalten.	그는 훌륭한 음악 교육을 받았다.
die	Folge	Folgen	연속, 결과	result, consequence, sequence	Ich dachte sorgfältig über die Folgen meines Handelns nach.	나는 내 행동의 결과에 대해 신중히 생각했다.
die	Gründung	Gründungen	기초를 놓음, 건설, 창설	foundation, establishment, start	Er gab die Gründung seiner neuen Firma bekannt.	그는 새 회사 설립을 발표했습니다.
die	Fabrik	Fabriken	공장, 공장직원	factory, plant	Die Firma besitzt mehrere Fabriken im Ausland.	회사는 해외에 여러 공장을 소유하고 있습니다.
die	Medizin	Medizinen	의학, 약품	medicine	Ich ging zur Apotheke, um Medizin zu kaufen.	나는 약을 사러 약국에 갔다.
die	Geschichte	Geschichten	역사, 이야기	history, story	Der Gelehrte weiß viel über die Geschichte der Welt.	학자는 세계의 역사에 대해 많이 알고 있습니다.
die	Mathematik	-	수학	mathematics	Mathematik ist nicht mein Gebiet, aber ich kenne mich doch ein wenig damit aus.	수학은 내 영역이 아니지만, 조금은 알고 있다.
die	Gewohnheit	Gewohnheiten	습관, 버릇, 관습	habit	Ich gebe zu, ich habe ein paar schlechte Gewohnheiten.	나는 나쁜 습관이 있음을 인정한다.
der	Roman	Romane	소설	novel	Ihr neuester Roman ist ein Krimi.	그녀의 최신 소설은 추리소설입니다.
der	Sieg	Siege	승리	victory, win	Der neue Spieler führte die Mannschaft zum Sieg.	새로운 선수가 팀을 승리로 이끌었다.
der	Punkt	Punkte	점,  장소,요점	point, item, issue, dot	Sie trug ein Kleid mit roten Punkten.	그녀는 빨간 도트무늬의 옷을 입었다.
der	Luftballon	Luftballons	풍선	balloon	Der Luftballon schwebte neben ihr in der Luft.	풍선은 공중에서 그녀 옆에 둥둥 떠있었다.
der	Prinz	Prinzen	영주, 왕자	prince	Der Anspruch des Prinzen auf den Thron wurde nicht bezweifelt.	왕좌에 오른 왕자의 주장은 의심의 여지가 없다.
der	Schulabschluss	Schulabschlüsse	졸업, 학력	graduation	Ich fand gleich nach meinem Schulabschluss Arbeit.	나는 졸업 직후 직장을 찾았습니다.
der	Todestag	Todestage	기일, 사망일	date of death	Bis zu seinem Todestag engagierte er sich für die Armen.	그는 죽을 때까지 가난한 사람들에게 헌신했다.
der	Tod	Tode	죽음	death	Viele Menschen glauben an das Jenseits, ein Leben nach dem Tod.	많은 사람들이 죽음 이후의 삶인 저승세계를 믿습니다.
der	Bischof	Bischöfe	비숍, 주교	bishop	Der Bischof besuchte die Kirche in unserem Dorf.	주교는 우리 마을의 교회를 방문했습니다.
der	Junge	Jungen	소년, 남자	boy	Damals war ich ein kleiner Junge.	그때 나는 어린 소년이었다.
der	Lebenslauf	Lebensläufe	경력, 이력	curriculum vitae, life	Mein beruflicher Werdegang ist in meinem Lebenslauf beschrieben.	내 경력은 여기 이력서에 설명되어 있습니다.
der	Komponist	Komponisten	작곡가	composer	Mozart und Beethoven waren bekannte Komponisten.	모차르트와 베토벤은 잘 알려진 작곡가다.
der	Kalender	Kalender	달력, 캘린더	calendar	Ich muss den Termin in meinen Kalender eintragen, sonst vergesse ich ihn.	내 달력에 일정을 입력해야 한다. 그렇지 않으면 까먹을 수도 있다.
das	Raumschiff	Raumschiffe	우주선	spaceship	Unser Raumschiff schwebte mit konstanter Geschwindigkeit durch das Weltall.	우리의 우주선은 일정한 속도로 공간을 떠 다녔다.
das	Oberhaupt	Oberhäupter	우두머리, 두목	head, leader, chief	Er war das Oberhaupt der Verschwörung.	그는 모반의 우두머리였다.
das	Märchen	Märchen	동화, 소문	tale, fable, fairytale	Ich las meiner Tochter als Gutenachtgeschichte ein Märchen vor.	나는 내 딸에게 잠자리 이야기로 동화를 읽어주었다.
das	Zuhause	-	집, 가정, 고향	home	Er hat kein Zuhause mehr.	그는 더이상 고향이 없다.(그는 의지할 데 없는 몸이다.)
das	Thema	Themen	테마, 주제	issue, topic	Der Artikel konzentriert sich auf mehrere wichtige Themen, darunter Umweltschutz.	이 기사는 환경 보호를 포함한 몇 가지 중요한 주제에 중점을 둔다.
das	Studium	Studien	대학공부, 연구	study	Studenten erhalten nach vierjährigem Studium ein Diplom.	학생들은 4 년 동안 공부 한 후에 졸업장을받습니다.
das	Dach	Dächer	지붕, 집	roof	Das Dach schützt das Haus vor Regen.	지붕은 비로부터 집을 보호한다.
das	Abitur	Abiture	독일 고등학교 졸업시험	Abitur	Nach dem Abitur besuchte ich die Universität.	졸업 시험후에 나는 대학에 다녔다.
das	Album	Alben	앨범, 게시판	album	Der Sänger hat ein neues Album herausgegeben.	가수는 새로운 앨범을 발표했다.
das	Fremdwort	Fremdwörter	외래어	foreign word	„Chic“, „Chose“, „Computer“, „downloaden“, „Sushi“ sind Fremdwörter im Deutschen.	"Chic", "Chose", "Computer", "Download", "Sushi"는 독일어의 외래어입니다.
das	Gegenteil	Gegenteile	반대	opposite, converse	Das chemische Gegenteil von Base ist Säure.	염기성과 반대의 화학 물질은 산성입니다.
das	Genie	Genies	천재, 괴짜	genius	Er ist vielleicht kein Genie, aber er ist kein Simpel!	그는 아마도 천재는 아니지만 평범하지 않아!
das	Jahrhundert	Jahrhunderte	세기, 백년	century	Das Schloss hat sich im Laufe der Jahrhunderte nur sehr wenig verändert.	성은 수세기 동안 거의 변하지 않았습니다.
das	Gerät	Geräte	도구, 기구	device, unit, equipment	Das Krankenhaus benötigt moderne medizinische Geräte.	병원은 최신 의료장비가 필요합니다.
das	Gerüst	Gerüste	구조물, 토대, 골격	scaffold, framework, structure	Das Gerüst des Betonbaus ist aus Stahl.	콘크리트 구조물의 골격은 강철로 만들어져있다.
die	Schwierigkeit	Schwierigkeiten	어려움, 곤란	difficulty, problem	Es kommen vielleicht Schwierigkeiten auf, aber wir werden sie bewältigen.	몇 가지 어려움이 있겠지만, 우리는 그것들을 극복할 것이다.
die	Natur	Naturen	자연, 본성	nature	Ein Spaziergang in der Natur ist die beste Medizin.	자연에서의 산책은 최고의 약입니다.
die	Sorge	Sorgen	근심, 걱정, 불안	concern, worry, problem	Alles ist gut, es besteht kein Anlass zur Sorge.	모든 것은 괜찮다. 걱정 할 이유가 없다.
die	Spinne	Spinnen	거미	spider	Die Spinne spinnt an ihrem Netz.	거미가 줄을 치고 있다.
die	Tradition	Traditionen	전통, 관습	tradition	Jede Kultur hat ihre eigenen Bräuche und Traditionen.	각 문화마다 고유한 풍습과 전통이 있습니다.
die	Wirtschaftswissenschaft	Wirtschaftswissenschaften	경제학	economic	Sie hat Wirtschaftswissenschaft an der Universität studiert.	그녀는 대학에서 경제학을 전공했습니다.
die	Zivilisation	Zivilisationen	문명, 세련	civilization	Die alten Griechen hielten ihre eigene Zivilisation für den Gipfelpunkt menschlicher Entwicklung.	고대 그리스인들은 자신의 문명이 인간 발달의 절정이라고 생각했습니다.
die	Kindheit	-	어린시절, 유년시절	childhood	Ich habe gute Erinnerungen an meine Kindheit.	나는 어린 시절의 좋은 추억을 가지고있다.
die	Höhle	Höhlen	동굴, 굴	cave, lair	In der Höhle wurden prähistorische Malereien entdeckt.	선사 시대의 동굴에서 그림이 발견되었습니다.
die	Hütte	Hütten	오두막, 움막	hut, cabin, cottage	Er zimmerte seine Hütte ganz alleine.	그는 혼자 오두막을 만들었습니다.
der	Regen	Regen	비	rain	Die Wolken werden Regen bringen.	구름은 비를 불러올 것이다.
der	Moskito	Moskitos	모기	mosquito	Das Spray wehrt Moskitos ab.	스프레이는 모기를 쫓아낸다.
der	Wurm	Würmer	벌레	worm	Der Angler verwendet Würmer als Köder.	낚시꾼은 벌레를 미끼로 사용한다.
der	Stamm	Stämme	줄기, 혈통	stem, root, strain	Die Äste eines Baumes wachsen aus dem Stamm.	나무가지가 줄기에서 자란다.
der	Stein	Steine	돌, 석재	stone, rock	Steine waren über den Strand verstreut.	돌들이 해변을 가로 질러 흩어져있었습니다.
der	Blitz	Blitze	번개, 전광	flash	Die Lampe blitzte einmal und dann war es dunkel.	램프가 한 번 깜박이고 어두워졌습니다.
der	Dschungel	Dschungel	정글, 아열대 우림	jungle	Orang-Utans und Tiger leben im Dschungel.	오랑우탄과 호랑이는 정글에 산다.
der	Donner	Donner	천둥	thunder	Der Lärm des Donners war unerträglich.	천둥소리는 지긋지긋 했다.
der	Himmel	Himmel	하늘	sky	Die Wolken am Himmel werden sich bald auflösen.	하늘의 구름이 곧 사라질 것입니다.
der	Käfer	Käfer	딱정벌레, 비틀	beetle	Der Junge fing im Gras einen Käfer.	그 소년은 풀밭에서 딱정벌레를 잡았다.
das	Paradies	Paradiese	낙원, 천국	paradise	Liebhaber von Schokolade fühlen sich in einer Schokoladenfabrik wie im Paradies.	초콜렛 애호가는 초콜릿 공장이 천국처럼 느껴질 것이다.
das	Dorf	Dörfer	마을, 마을 주민	village	Es gibt ein Dorf jenseits des Flusses.	강 건너편에 마을이 있습니다.
das	Leben	Leben	생활, 삶	life	Es ist wichtig, das Leben zu genießen.	인생을 즐기는 것은 중요합니다.
